Quarter,State,Marriages_Registered_(Number),Marriage_Rate_Registered_per1000_Estimated_Population(Number),Deaths_Registered(Number),Death_Rate_Registered_per1000Estimated_Population(Number),Deaths_of_Infants_under_1_Year_Registered_per_1000 Births(Number),Births_Registered(Number),Birth_Rate_Registered_per_1000_Estimated_Population(Number)
1960Q1,Ireland,2987,4.2,9399,13.3,34.7,14614,20.6
1960Q2,Ireland,3501,4.9,7882,11.1,26.8,16494,23.1
1960Q3,Ireland,5900,8.3,6950,9.8,26.3,15612,22.2
1960Q4,Ireland,3106,4.4,8427,11.7,29.7,14010,19.8
1961Q1,Ireland,2179,3.1,11883,17.1,34.9,14692,20.8
1961Q2,Ireland,3959,5.6,8251,11.7,29,16264,23.1
1961Q3,Ireland,5722,8.3,6703,9.8,29.7,14895,21.1
1961Q4,Ireland,3280,4.7,7711,10.9,29.1,13975,19
1962Q1,Ireland,2732,3.9,10367,15.3,35.7,14875,21.7
1962Q2,Ireland,3385,4.8,8732,12.1,28.6,16657,23.5
1962Q3,Ireland,6157,8.7,7021,9.9,24.2,15719,22.2
1962Q4,Ireland,3135,4.4,7523,10.6,28.4,14360,20.1
1963Q1,Ireland,2743,3.8,10262,15.1,30.1,15177,21.8
1963Q2,Ireland,3342,4.7,8681,11.9,26.3,17064,23.9
1963Q3,Ireland,5816,8.4,7105,10,23.9,16043,23.1
1963Q4,Ireland,3397,4.8,7510,10.5,26.6,14682,20.6
1964Q1,Ireland,2446,3.4,8863,13,29.2,15049,21.4
1964Q2,Ireland,4063,5.7,9067,12.5,26.1,17351,24.4
1964Q3,Ireland,6019,9.8,6882,8.5,24.9,16491,23.3
1964Q4,Ireland,3413,4.8,7661,10.5,27.2,15117,21.1
1965Q1,Ireland,3446,4.8,9278,13.7,24.8,15185,21.1
1965Q2,Ireland,3489,4.9,8161,11,27.3,16388,23.8
1965Q3,Ireland,6274,9,7326,10.2,22.7,17393,22.5
1965Q4,Ireland,3455,4.8,8013,11.1,26.4,14477,20.1
1966Q1,Ireland,3410,4.7,10455,15.4,27.2,15004,21.1
1966Q2,Ireland,3349,4.6,9114,12.6,25.1,16507,22.9
1966Q3,Ireland,6359,8.8,7123,9.6,23,15895,22.4
1966Q4,Ireland,3609,5,8033,11.1,24.3,14737,19.8
1967Q1,Ireland,3229,4.5,8086,11.9,25.2,14775,20.7
1967Q2,Ireland,3935,5.6,7901,10.9,24.9,16710,23
1967Q3,Ireland,6514,9,7185,9.9,22.9,15324,21.1
1967Q4,Ireland,3927,5.4,7830,10.8,25,14218,19.6
1968Q1,Ireland,3826,5.3,9861,14.2,23.8,15451,21.2
1968Q2,Ireland,3904,5.4,8214,11.3,22,15473,22
1968Q3,Ireland,6958,9.6,7164,9.6,17.7,15676,21
1968Q4,Ireland,4104,5.6,7561,10.4,19.8,14185,19.5
1969Q1,Ireland,4261,5.8,9529,13.8,21,14990,21.1
