Year,County,All_Births(Number),First_Births(Number),Births_within_Marriage(Number),Births_outside_Marriage(Number),Average_Age_ of_Mother(Years),Average_Age_of_First_TimeMother(Years)
1985,ROI Total,62388,,57106,5282,29.3,26
1985,Dublin City,6645,,5132,1513,28,
1985,Fingal,,,,,,
1985,Dun Laoghaire Rathdown,878,,754,124,29.8,
1985,South Dublin,10123,,9280,843,29.3,
1985,Wicklow,1829,,1634,195,28.9,
1985,Carlow,832,,773,59,28.8,
1985,Kildare,2466,,2290,176,29.3,
1985,Kilkenny,1286,,1190,96,29.5,
1985,Laois,941,,895,46,29.4,
1985,Longford,571,,549,22,29.3,
1985,Louth,1541,,1420,121,28.7,
1985,Meath,1990,,1891,99,29.7,
1985,Offaly,1062,,1017,45,29.2,
1985,Westmeath,1206,,1119,87,29.1,
1985,Wexford,1897,,1748,149,28.7,
1985,Waterford County,871,,805,66,29.3,
1985,Waterford City,638,,557,81,28.2,
1985,Clare,1620,,1536,84,29.9,
1985,Cork City,2038,,1798,240,28.3,
1985,Cork County,4980,,4752,228,29.9,
1985,Kerry,2056,,1951,105,29.8,
1985,Limerick City,980,,850,130,27.8,
1985,Limerick County,1991,,1924,67,29.7,
1985,North Tipperary,1046,,994,52,29.8,
1985,South Tipperary,1365,,1257,108,28.8,
1985,Tipperary,,,,,,
1985,Galway City,3079,,2894,185,29.8,
1985,Leitrim,431,,427,4,30.2,
1985,Mayo,2020,,1958,62,30,
1985,Roscommon,841,,821,20,30.5,
1985,Sligo,946,,893,53,30,
1985,Galway County,,,,,,
1985,Cavan,954,,920,34,29.8,
1985,Donegal,2342,,2189,153,29.4,
1985,Monaghan,923,,888,35,29.6,
1985,Outside the ROI Total,,,,,,
1986,ROI Total,61620,,55674,5946,29.3,26.1
1986,Dublin City,7320,,5401,1919,27.9,
1986,Fingal,3111,,2897,214,29.7,
1986,Dun Laoghaire Rathdown,2338,,2016,322,30,
1986,South Dublin,4474,,4077,397,29.2,
1986,Wicklow,1801,,1597,204,28.8,
1986,Carlow,864,,801,63,28.7,
1986,Kildare,2493,,2326,167,29.5,
1986,Kilkenny,1259,,1139,120,29.5,
1986,Laois,937,,901,36,29.4,
1986,Longford,538,,518,20,30.2,
1986,Louth,1593,,1461,132,28.8,
1986,Meath,1936,,1821,115,30,
1986,Offaly,1017,,959,58,29.1,
1986,Westmeath,1188,,1101,87,29.1,
1986,Wexford,1850,,1672,178,28.7,
1986,Waterford County,906,,832,74,29.4,
1986,Waterford City,642,,534,108,27.9,
1986,Clare,1603,,1503,100,30,
1986,Cork City,2199,,1911,288,28.5,
1986,Cork County,4902,,4648,254,30.1,
1986,Kerry,1943,,1832,111,29.8,
1986,Limerick City,832,,669,163,27.5,
